HomeTeam,AwayTeam,Date,OddsHome,OddsDraw,OddsAway
CF Estrela Amadora,Sporting Braga,2026-09-10,4.74,3.65,1.71
Nacional,Alverca,2026-09-12,2.35,3.2,2.82
Casa Pia,Porto,2026-09-12,11.28,5.61,1.25
Academico Viseu,Guimaraes,2026-09-12,3.1,3.2,2.2
Arouca,Santa Clara,2026-09-13,2.6,3.11,2.73
Benfica,Gil Vicente,2026-09-13,1.15,7.71,16.36
Famalicao,Sp Lisbon,2026-09-13,5.05,4.05,1.59
Rio Ave,CF Estrela Amadora,2026-09-14,2.72,3.29,2.52
Moreirense,Maritimo,2026-09-14,2.73,3.13,2.63
Sporting Braga,Estoril,2026-09-14,1.52,4.11,6.12
