Date,Time,HomeTeam,AwayTeam,Status,kickoff_utc
2026-08-31,20:15,Benfica,Estoril,STATUS_SCHEDULED,2026-08-31T19:15:00+00:00
2026-08-31,20:15,Sp Braga,Guimaraes,STATUS_SCHEDULED,2026-08-31T19:15:00+00:00
2026-09-04,20:15,Porto,Moreirense,STATUS_SCHEDULED,2026-09-04T19:15:00+00:00
2026-09-05,15:30,Amadora,Famalicao,STATUS_SCHEDULED,2026-09-05T14:30:00+00:00
2026-09-05,18:00,Alverca,Sp Braga,STATUS_SCHEDULED,2026-09-05T17:00:00+00:00
2026-09-05,18:00,Maritimo,Benfica,STATUS_SCHEDULED,2026-09-05T17:00:00+00:00
2026-09-05,20:30,Sp Lisbon,Nacional,STATUS_SCHEDULED,2026-09-05T19:30:00+00:00
2026-09-06,15:30,Santa Clara,Rio Ave,STATUS_SCHEDULED,2026-09-06T14:30:00+00:00
2026-09-06,18:00,Guimaraes,Casa Pia,STATUS_SCHEDULED,2026-09-06T17:00:00+00:00
2026-09-06,20:30,Gil Vicente,Academico Viseu,STATUS_SCHEDULED,2026-09-06T19:30:00+00:00
2026-09-07,01:00,Estoril,Arouca,STATUS_SCHEDULED,2026-09-07T00:00:00+00:00
2026-09-09,20:45,Moreirense,Benfica,STATUS_SCHEDULED,2026-09-09T19:45:00+00:00
2026-09-10,20:15,Amadora,Sp Braga,STATUS_SCHEDULED,2026-09-10T19:15:00+00:00
2026-09-12,01:00,Moreirense,Maritimo,STATUS_SCHEDULED,2026-09-12T00:00:00+00:00
2026-09-12,01:00,Rio Ave,Amadora,STATUS_SCHEDULED,2026-09-12T00:00:00+00:00
2026-09-12,01:00,Benfica,Gil Vicente,STATUS_SCHEDULED,2026-09-12T00:00:00+00:00
2026-09-12,01:00,Famalicao,Sp Lisbon,STATUS_SCHEDULED,2026-09-12T00:00:00+00:00
2026-09-12,01:00,Nacional,Alverca,STATUS_SCHEDULED,2026-09-12T00:00:00+00:00
2026-09-12,01:00,Casa Pia,Porto,STATUS_SCHEDULED,2026-09-12T00:00:00+00:00
2026-09-12,01:00,Sp Braga,Estoril,STATUS_SCHEDULED,2026-09-12T00:00:00+00:00
2026-09-12,01:00,Academico Viseu,Guimaraes,STATUS_SCHEDULED,2026-09-12T00:00:00+00:00
2026-09-12,01:00,Arouca,Santa Clara,STATUS_SCHEDULED,2026-09-12T00:00:00+00:00
2026-09-19,01:00,Nacional,Famalicao,STATUS_SCHEDULED,2026-09-19T00:00:00+00:00
2026-09-19,01:00,Gil Vicente,Maritimo,STATUS_SCHEDULED,2026-09-19T00:00:00+00:00
2026-09-19,01:00,Sp Lisbon,Arouca,STATUS_SCHEDULED,2026-09-19T00:00:00+00:00
2026-09-19,01:00,Santa Clara,Sp Braga,STATUS_SCHEDULED,2026-09-19T00:00:00+00:00
2026-09-19,01:00,Guimaraes,Moreirense,STATUS_SCHEDULED,2026-09-19T00:00:00+00:00
2026-09-19,01:00,Porto,Benfica,STATUS_SCHEDULED,2026-09-19T00:00:00+00:00
2026-09-19,01:00,Amadora,Academico Viseu,STATUS_SCHEDULED,2026-09-19T00:00:00+00:00
2026-09-19,01:00,Alverca,Rio Ave,STATUS_SCHEDULED,2026-09-19T00:00:00+00:00
2026-09-19,01:00,Estoril,Casa Pia,STATUS_SCHEDULED,2026-09-19T00:00:00+00:00
2026-10-11,01:00,Benfica,Guimaraes,STATUS_SCHEDULED,2026-10-11T00:00:00+00:00
2026-10-11,01:00,Casa Pia,Santa Clara,STATUS_SCHEDULED,2026-10-11T00:00:00+00:00
2026-10-11,01:00,Academico Viseu,Estoril,STATUS_SCHEDULED,2026-10-11T00:00:00+00:00
2026-10-11,01:00,Maritimo,Porto,STATUS_SCHEDULED,2026-10-11T00:00:00+00:00
2026-10-11,01:00,Arouca,Amadora,STATUS_SCHEDULED,2026-10-11T00:00:00+00:00
2026-10-11,01:00,Famalicao,Alverca,STATUS_SCHEDULED,2026-10-11T00:00:00+00:00
2026-10-11,01:00,Sp Braga,Sp Lisbon,STATUS_SCHEDULED,2026-10-11T00:00:00+00:00
2026-10-11,01:00,Moreirense,Gil Vicente,STATUS_SCHEDULED,2026-10-11T00:00:00+00:00
2026-10-11,01:00,Rio Ave,Nacional,STATUS_SCHEDULED,2026-10-11T00:00:00+00:00
2026-10-25,01:00,Guimaraes,Maritimo,STATUS_SCHEDULED,2026-10-25T00:00:00+00:00
2026-10-25,01:00,Rio Ave,Famalicao,STATUS_SCHEDULED,2026-10-25T00:00:00+00:00
2026-10-25,01:00,Santa Clara,Benfica,STATUS_SCHEDULED,2026-10-25T00:00:00+00:00
2026-10-25,01:00,Sp Lisbon,Academico Viseu,STATUS_SCHEDULED,2026-10-25T00:00:00+00:00
2026-10-25,01:00,Alverca,Arouca,STATUS_SCHEDULED,2026-10-25T00:00:00+00:00
2026-10-25,01:00,Nacional,Sp Braga,STATUS_SCHEDULED,2026-10-25T00:00:00+00:00
2026-10-25,01:00,Gil Vicente,Porto,STATUS_SCHEDULED,2026-10-25T00:00:00+00:00
2026-10-25,01:00,Estoril,Moreirense,STATUS_SCHEDULED,2026-10-25T00:00:00+00:00
2026-10-25,01:00,Amadora,Casa Pia,STATUS_SCHEDULED,2026-10-25T00:00:00+00:00
2026-11-01,00:00,Porto,Estoril,STATUS_SCHEDULED,2026-11-01T00:00:00+00:00
2026-11-01,00:00,Sp Braga,Famalicao,STATUS_SCHEDULED,2026-11-01T00:00:00+00:00
2026-11-01,00:00,Maritimo,Santa Clara,STATUS_SCHEDULED,2026-11-01T00:00:00+00:00
