Feature,Importance,Std
home_shots_against_ewm10,0.03279999999999998,0.00992773891679268
away_shots_against_ewm10,0.030399999999999983,0.019365949499056328
home_shots_for_ewm10,0.02799999999999999,0.012649110640673507
away_shots_for_ewm10,0.019199999999999995,0.012998461447417526
home_clean_sheet_l10,0.010399999999999998,0.011482160075525853
home_goals_against_l5,0.008799999999999997,0.017045820602130016
home_rest_days,0.0064000000000000055,0.012547509713086508
home_goals_for_l5,0.0047999999999999935,0.012237646832622677
away_clean_sheet_l10,0.002400000000000002,0.006974238309665084
away_shot_quality_ewm10,0.0016000000000000014,0.012547509713086508
away_rest_days,0.0008000000000000007,0.005878775382679633
home_history_n,0.0008000000000000007,0.006881860213634107
AxG,0.0,0.0
HxG,0.0,0.0
SKBH,0.0,0.0
PPA,0.0,0.0
PPD,0.0,0.0
PPH,0.0,0.0
SKBCA,0.0,0.0
SKBCD,0.0,0.0
SKBD,0.0,0.0
SKBA,0.0,0.0
home_goal_diff_l10,0.0,0.004381780460041333
home_points_l5,0.0,0.008000000000000007
PPCH,0.0,0.0
PPCD,0.0,0.0
PPCA,0.0,0.0
SKBCH,0.0,0.0
AwayTeamPointsLast5,0.0,0.0
HomeTeamPointsLast5,0.0,0.0
HomeRestDays,0.0,0.0
AwayRestDays,0.0,0.0
away_goals_for_l5,-0.0016000000000000014,0.004079215610874231
away_goals_against_l5,-0.002400000000000002,0.005986651818838311
away_history_n,-0.009600000000000008,0.008616263691415214
home_shot_quality_ewm10,-0.013600000000000011,0.010910545357588694
away_points_l5,-0.014400000000000013,0.014664242223858702
away_goal_diff_l10,-0.02320000000000002,0.009927738916792694
