feature,category,dtype,missing_rate,unique_values
Division,excluded,str,0.0,1
MatchDate,excluded,str,0.0,531
KickoffTime,excluded,str,0.0,18
HomeTeam,excluded,str,0.0,26
AwayTeam,excluded,str,0.0,26
FullTimeHomeGoals,excluded,int64,0.0,8
FullTimeAwayGoals,excluded,int64,0.0,8
FullTimeResult,excluded,str,0.0,3
HalfTimeHomeGoals,excluded,int64,0.0,6
HalfTimeAwayGoals,excluded,int64,0.0,5
HalfTimeResult,excluded,str,0.0,3
HomeShots,excluded,int64,0.0,34
AwayShots,excluded,int64,0.0,32
HomeShotsOnTarget,excluded,int64,0.0,16
AwayShotsOnTarget,excluded,int64,0.0,16
HomeFouls,excluded,int64,0.0,28
AwayFouls,excluded,int64,0.0,23
HomeCorners,excluded,int64,0.0,19
AwayCorners,excluded,int64,0.0,18
HomeYellowCards,excluded,int64,0.0,10
AwayYellowCards,excluded,int64,0.0,10
HomeRedCards,excluded,int64,0.0,4
AwayRedCards,excluded,int64,0.0,4
B365H,market,float64,0.0007886435331230284,130
B365D,market,float64,0.0007886435331230284,42
B365A,market,float64,0.0007886435331230284,123
BWH,market,float64,0.10173501577287067,141
BWD,market,float64,0.10173501577287067,47
BWA,market,float64,0.10173501577287067,143
IWH,market,float64,0.6522082018927445,86
IWD,market,float64,0.6522082018927445,48
IWA,market,float64,0.6522082018927445,100
PSH,market,float64,0.15615141955835962,422
PSD,market,float64,0.15615141955835962,376
PSA,market,float64,0.15615141955835962,538
WHH,market,float64,0.334384858044164,99
WHD,market,float64,0.334384858044164,38
WHA,market,float64,0.334384858044164,101
VCH,market,float64,0.5181388012618297,95
VCD,market,float64,0.5181388012618297,39
VCA,market,float64,0.5181388012618297,93
MaxH,market,float64,0.0,320
MaxD,market,float64,0.0,189
MaxA,market,float64,0.0,371
AvgH,market,float64,0.0,450
AvgD,market,float64,0.0,372
AvgA,market,float64,0.0,582
B365>2.5,market,float64,0.0,50
B365<2.5,market,float64,0.0,50
P>2.5,market,float64,0.15615141955835962,153
P<2.5,market,float64,0.15615141955835962,171
Max>2.5,market,float64,0.0,145
Max<2.5,market,float64,0.0,152
Avg>2.5,market,float64,0.0,142
Avg<2.5,market,float64,0.0,172
AHh,market,float64,0.0,21
B365AHH,market,float64,0.0,42
B365AHA,market,float64,0.0,44
PAHH,market,float64,0.15615141955835962,47
PAHA,market,float64,0.15615141955835962,43
MaxAHH,market,float64,0.0,46
MaxAHA,market,float64,0.0,50
AvgAHH,market,float64,0.0,46
AvgAHA,market,float64,0.0,53
B365CH,market,float64,0.0,134
B365CD,market,float64,0.0,44
B365CA,market,float64,0.0,127
