Feature,Mean_SHAP
home_shots_against_ewm10,0.3880668
home_history_n,0.38634667
away_shots_against_ewm10,0.36558113
away_shots_for_ewm10,0.35191035
home_shots_for_ewm10,0.3030682
away_history_n,0.24193545
home_shot_quality_ewm10,0.2116402
away_goal_diff_l10,0.19906883
away_rest_days,0.19110839
home_goal_diff_l10,0.17861925
home_rest_days,0.17788948
away_shot_quality_ewm10,0.17015438
home_goals_for_l5,0.15998198
home_clean_sheet_l10,0.11078459
home_goals_against_l5,0.10754522
away_points_l5,0.103397466
away_clean_sheet_l10,0.09789128
away_goals_against_l5,0.094958104
home_points_l5,0.08731482
away_goals_for_l5,0.07126134
AxG,0.0
HxG,0.0
SKBH,0.0
PPA,0.0
PPD,0.0
PPH,0.0
PPCA,0.0
SKBCH,0.0
SKBCD,0.0
SKBCA,0.0
SKBD,0.0
SKBA,0.0
PPCH,0.0
PPCD,0.0
HomeTeamPointsLast5,0.0
AwayTeamPointsLast5,0.0
HomeRestDays,0.0
AwayRestDays,0.0
